"Variable";"Ponto5";"Ponto6";"Ponto7";"Ponto8";"Ponto9";"Ponto10"
"1";"w.Temp.C";"25.8 (24.9-27.3)";"26.5 (25.3-27.5)";"25.2 (24.9-25.5)";"27.8 (27-28.5)";"26.9 (26.6-27.3)";"26.3 (26.2-26.5)"
"2";"w.DO.mg.L";"8.1 (7.8-8.5)";"7.5 (7.2-7.8)";"7.9 (7.7-8)";"7.5 (6.5-8.4)";"7.9 (7.8-7.9)";"5.4 (4.9-6.1)"
"3";"w.Cond.uS.cm";"146.4 (134-164.4)";"148.3 (134.1-156.8)";"129 (98.3-160.2)";"160.6 (158.8-161.8)";"163.3 (161.2-165.5)";"154.3 (149.7-157.9)"
"4";"w.Turb.ntu";"7.4 (4.6-10.7)";"6.1 (2.1-14.1)";"4.4 (1.5-9.2)";"6.4 (6.1-6.8)";"17.5 (17.2-17.7)";"29.6 (24.2-34.8)"
"5";"w.pH";"7 (6.3-7.5)";"6.8 (5.9-7.7)";"5.5 (4.6-6)";"5.9 (5.9-6)";"6.6 (6.6-6.6)";"6.9 (6.6-7.3)"
"6";"m.Elev.m";"107.1 (107.1-107.1)";"112.8 (112.8-112.8)";"89 (89-89)";"89.1 (89.1-89.1)";"71 (71-71)";"41.5 (41.5-41.5)"
"7";"m.Vel.m.s";"0 (0-0)";"0.035 (0.035-0.035)";"0.073 (0.022-0.108)";"0.038 (0-0.115)";"0.293 (0.25-0.348)";"0.022 (0.022-0.022)"
"8";"m.Slope";"1.2 (1-1.5)";"2.5 (2.5-2.5)";"2.2 (1.5-2.5)";"2 (2-2)";"2.7 (2-3)";"1.5 (1-2)"
"9";"m.Depth.max.cm";"16 (16-16)";"30.3 (29-31)";"22.7 (20-26)";"50 (38-56)";"21 (20-22)";"47 (47-47)"
"10";"m.Depth.avg.cm";"13.7 (13.7-13.7)";"23 (20.3-28.3)";"19.7 (16-22.7)";"44.2 (30-51.3)";"16.8 (15-19.7)";"40.7 (40.7-40.7)"
"11";"m.Depth.mar.cm";"16 (16-16)";"30 (30-30)";"28.7 (15-42)";"52.7 (22-87)";"20 (20-20)";"45.3 (38-52)"
"12";"m.Width.m";"3.6 (3.6-3.6)";"3.7 (2.3-4.4)";"1.7 (1.1-2.1)";"10.4 (2-14.6)";"1.2 (0.8-1.6)";"7.2 (7.2-7.2)"
"13";"s.Mud";"100 (100-100)";"100 (100-100)";"90 (90-90)";"60 (20-80)";"70 (60-80)";"30 (20-50)"
"14";"s.Sand";"0 (0-0)";"0 (0-0)";"10 (10-10)";"40 (20-80)";"30 (20-40)";"70 (50-80)"
"15";"h.Macrophytes";"5 (5-5)";"20 (0-30)";"0 (0-0)";"35.8 (22.5-60)";"0 (0-0)";"1.7 (0-5)"
"16";"h.Grass";"0 (0-0)";"5 (5-5)";"2 (0-5)";"39.2 (20-50)";"0 (0-0)";"13.7 (1-30)"
"17";"h.Subm.veg";"5 (5-5)";"8.3 (5-15)";"3.3 (0-10)";"3.3 (0-5)";"16.7 (10-20)";"5 (0-10)"
"18";"h.Overh.veg";"90 (90-90)";"81.7 (80-85)";"85 (80-90)";"30 (30-30)";"70 (60-80)";"8.3 (0-20)"
"19";"h.Leaf.l";"10 (10-10)";"3.7 (1-5)";"20 (5-30)";"26.7 (20-30)";"13.7 (1-30)";"5.3 (1-10)"
"20";"h.Algae.f";"0 (0-0)";"0 (0-0)";"8.7 (1-20)";"16.7 (0-50)";"0 (0-0)";"0 (0-0)"
"21";"h.Algae.a";"5 (5-5)";"0.3 (0-1)";"2.3 (1-5)";"11.7 (0-20)";"0 (0-0)";"0 (0-0)"
"22";"h.Root.masses";"0 (0-0)";"8.3 (5-15)";"10 (5-15)";"0 (0-0)";"76.7 (50-90)";"3.3 (0-10)"
"23";"h.Debris.l";"20 (20-20)";"0.3 (0-1)";"6.7 (5-10)";"11.7 (10-15)";"3.3 (0-10)";"5 (5-5)"
"24";"h.Debris.s";"10 (10-10)";"5 (5-5)";"3.7 (0-10)";"15 (5-20)";"13.7 (1-30)";"10 (5-15)"
